0,Genymobile/scrcpy,18905,C
1,tensorflow/tensorflow,15456,C++
2,bitcoin/bitcoin,12292,C++
3,commaai/openpilot,11464,C++
4,electron/electron,11300,C++
5,dogecoin/dogecoin,9370,C++
6,ocornut/imgui,9364,C++
7,google/googletest,7692,C++
8,coolsnowwolf/lede,6828,C
9,nlohmann/json,6657,C++
10,tesseract-ocr/tesseract,6003,C++
11,apple/swift,5617,C++
12,google/mediapipe,5396,C++
13,ossrs/srs,5328,C++
14,google/leveldb,4763,C++
15,grpc/grpc,4701,C++
16,PaddlePaddle/Paddle,4537,C++
17,MarlinFirmware/Marlin,4476,C++
18,Aircoookie/WLED,4132,C++
19,envoyproxy/envoy,4067,C++
20,facebookresearch/faiss,3953,C++
21,numpy/numpy,3893,C
22,lbryio/lbrycrd,3835,C
23,pbatard/rufus,3757,C
24,jarun/nnn,3684,C
25,vnpy/vnpy,3588,C++
26,facebook/rocksdb,3401,C++
27,openssl/openssl,3063,C
28,openwrt/openwrt,3036,C
29,ethereum/solidity,2772,C++
30,apache/arrow,2566,C++
31,google/lyra,2549,C++
32,iovisor/bcc,2505,C
33,ApolloAuto/apollo,2428,C++
34,facebook/folly,2385,C++
35,TranslucentTB/TranslucentTB,2326,C++
36,x64dbg/x64dbg,2305,C++
37,dmlc/xgboost,2263,C++
38,micropython/micropython,2253,C
39,xournalpp/xournalpp,2191,C++
40,cmderdev/cmder,2157,C++
41,google/filament,2108,C++
42,allinurl/goaccess,2105,C
43,xmrig/xmrig,2092,C++
44,google/flatbuffers,2089,C++
45,anbox/anbox,2066,C++
46,ggreer/the_silver_searcher,2056,C
47,clsid2/mpc-hc,1979,C
48,jerryscript-project/jerryscript,1913,C
49,darlinghq/darling,1900,C
50,esp8266/Arduino,1893,C
51,meetecho/janus-gateway,1864,C
52,espressif/esp-idf,1840,C
53,abseil/abseil-cpp,1826,C++
54,bkaradzic/bgfx,1796,C++
55,arangodb/arangodb,1773,C++
56,skypjack/entt,1772,C++
57,skywind3000/kcp,1745,C
58,microsoft/LightGBM,1734,C++
59,official-stockfish/Stockfish,1722,C++
60,krallin/tini,1706,C
61,wkhtmltopdf/wkhtmltopdf,1664,C++
62,facontidavide/PlotJuggler,1637,C++
63,OpenRCT2/OpenRCT2,1633,C++
64,spotify/annoy,1608,C++
65,wasm3/wasm3,1607,C
66,RT-Thread/rt-thread,1585,C
67,project-chip/connectedhomeip,1556,C++
